Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,0,1,0,82,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0,0,0,20,0,0.0,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,1,82,0,0,0,0,1,82,0,0,0,0,0,0,0,0
0,0,1,0,82,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0,0,0,20,0,0.0,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,1,82,0,0,0,0,1,82,0,0,0,0,0,0,0,0
0,2,2,0,164,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,81.99719462456021,0.9999657881043927,2.000068426132202,0.0,2,2,2,2.000068426132202,0.0,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,40,0,0.9999657881043927,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,2,164,0,0,0,0,2,82,0,0,0,0,0,0,0,0
0,2,2,0,164,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,81.99442853638342,0.999932055321749,2.000135898590088,0.0,2,2,2,2.000135898590088,0.0,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,40,0,0.999932055321749,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,2,164,0,0,0,0,2,82,0,0,0,0,0,0,0,0
0,4,3,0,246,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,61.489195457207686,0.7498682372830205,2.0003514289855957,0.0002830028533935547,2,2,4,2.0003514289855957,0.0002830028533935547,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,60,0,0.7498682372830205,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,3,246,0,0,0,0,3,82,0,0,0,0,0,0,0,0
0,4,3,0,246,0,82,82,82.0,0.0,0,9223372036854775807,0.0,0.0,61.49094708923636,0.7498895986492238,2.0002944469451904,0.00015854835510253906,2,2,4,2.0002944469451904,0.00015854835510253906,2,2,0,0.0,0.0,0,9223372036854775807,0,0,0,0,60,0,0.7498895986492238,0.0,82,82,82.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.0,82.0,0.0,0,0,0,0,0,0,3,246,0,0,0,0,3,82,0,0,0,0,0,0,0,0
55364,0,1,0,279,0,279,279,279.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,265,0,0.0,0.0,279,279,279.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,279.0,279.0,0.0,0,0,0,0,0,0,1,279,0,0,501,0,1,279,0,0,0,0,0,0,0,0
55364,0,1,1,279,66,279,279,279.0,0.0,66,66,66.0,0.0,39109050.81081081,226719.13513513515,8.821487426757812e-06,0.0,0,0,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,265,52,113359.56756756757,113359.56756756757,66,279,172.5,0.0,0.0,0,0,0,1,2,0,0,0,1.0,172.5,279.0,66.0,0,0,0,0,0,0,1,279,1,66,501,627,1,279,0,0,0,0,0,0,0,0
55374,0,1,0,276,0,276,276,276.0,0.0,0,9223372036854775807,0.0,0.0,0.0,0.0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,262,0,0.0,0.0,276,276,276.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,276.0,276.0,0.0,0,0,0,0,0,0,1,276,0,0,501,0,1,276,0,0,0,0,0,0,0,0
55374,0,1,1,276,66,276,276,276.0,0.0,66,66,66.0,0.0,13160109.798165137,76959.70642201835,2.5987625122070312e-05,0.0,0,0,0,0.0,0.0,0,9223372036854775807,0,0.0,0.0,0,9223372036854775807,1,0,0,0,262,52,38479.85321100918,38479.85321100918,66,276,171.0,0.0,0.0,0,0,0,1,2,0,0,0,1.0,171.0,276.0,66.0,0,0,0,0,0,0,1,276,1,66,501,627,1,276,0,0,0,0,0,0,0,0
